Disease,Description,Prescription,Precautions,Diet Plan,Workouts
Cushing's Syndrome,"A condition caused by excessive cortisol levels, leading to weight gain and other symptoms.","Surgery, medications to reduce cortisol.","Monitor blood pressure, avoid high-sugar foods.","Low-sodium, low-sugar diet.","Light cardio, strength training."
Graves' Disease,An autoimmune disorder causing hyperthyroidism (overactive thyroid).,"Antithyroid medications, beta-blockers, radioactive iodine therapy.","Avoid iodine-rich foods, monitor thyroid levels.","Low-iodine diet, avoid caffeine.","Light exercises, avoid strenuous activity."
Hashimoto's Disease,An autoimmune disorder causing hypothyroidism (underactive thyroid).,Thyroid hormone replacement therapy.,"Regular thyroid monitoring, avoid goitrogenic foods.","Balanced diet, limit soy and cruciferous vegetables.","Moderate exercise, yoga."
Sjogren's Syndrome,An autoimmune disorder causing dry eyes and mouth due to moisture-producing gland damage.,"Artificial tears, saliva substitutes, immunosuppressants.","Avoid dry environments, maintain oral hygiene.","Moist, soft foods, avoid dry or acidic foods.","Light stretching, low-impact exercises."
Raynaud's Disease,"A condition causing reduced blood flow to extremities, leading to numbness and color changes in fingers/toes.","Calcium channel blockers, vasodilators.","Keep extremities warm, avoid cold exposure.","Balanced diet, avoid caffeine.","Hand and foot exercises, light cardio."
Endometriosis,"A condition where tissue similar to the uterine lining grows outside the uterus, causing pain and infertility.","Pain relievers, hormone therapy, surgery.","Manage stress, avoid inflammatory foods.","Anti-inflammatory diet, rich in omega-3 fatty acids.","Light yoga, pelvic floor exercises."
PCOS,"Polycystic Ovary Syndrome, a hormonal disorder causing enlarged ovaries with small cysts.","Birth control pills, metformin, lifestyle changes.","Maintain a healthy weight, monitor blood sugar.","Low-glycemic index diet, high-fiber foods.","Regular cardio, strength training."
Premenstrual Dysphoric Disorder,A severe form of PMS causing emotional and physical symptoms before menstruation.,"Antidepressants, hormonal birth control.","Track symptoms, manage stress.","Balanced diet, limit caffeine and alcohol.","Light yoga, walking."
Chronic Fatigue Syndrome,A disorder causing extreme fatigue that doesn't improve with rest.,"Cognitive behavioral therapy, graded exercise therapy.","Pace activities, avoid overexertion.","Balanced diet, avoid processed foods.","Gentle stretching, light walking."
Interstitial Cystitis,A chronic condition causing bladder pain and frequent urination.,"Pain relievers, bladder instillations, physical therapy.","Avoid bladder irritants (caffeine, alcohol).","Low-acid diet, avoid spicy foods.","Pelvic floor exercises, light stretching."
Restless Leg Syndrome,"A condition causing an uncontrollable urge to move the legs, often due to discomfort.","Dopamine agonists, iron supplements.","Avoid caffeine, maintain a regular sleep schedule.","Iron-rich diet, avoid alcohol.","Light stretching, yoga."
Narcolepsy,A sleep disorder causing excessive daytime sleepiness and sudden sleep attacks.,"Stimulants, antidepressants, sodium oxybate.","Maintain a regular sleep schedule, avoid heavy meals.","Balanced diet, avoid caffeine late in the day.","Regular exercise, avoid overexertion."
Vertigo,"A sensation of spinning or dizziness, often caused by inner ear problems.","Antihistamines, antiemetics, vestibular rehabilitation therapy.","Avoid sudden movements, stay hydrated.","Low-sodium diet, avoid caffeine.","Balance exercises, vestibular rehabilitation."
Meniere's Disease,"An inner ear disorder causing vertigo, hearing loss, and tinnitus.","Diuretics, anti-vertigo medications, low-sodium diet.","Limit salt intake, avoid caffeine and alcohol.","Low-sodium diet, avoid processed foods.","Balance exercises, light stretching."
Bell's Palsy,A condition causing sudden weakness or paralysis of facial muscles.,"Corticosteroids, antiviral medications, eye protection.","Protect the affected eye, avoid cold exposure.","Soft, easy-to-chew foods.","Facial exercises, light massage."
Trigeminal Neuralgia,"A chronic pain condition affecting the trigeminal nerve, causing severe facial pain.","Anticonvulsants, muscle relaxants, surgery.","Avoid triggers (cold, touch), manage stress.","Soft foods, avoid extreme temperatures.","Gentle jaw exercises, stress management."
Cluster Headaches,Severe headaches occurring in cyclical patterns or clusters.,"Oxygen therapy, triptans, calcium channel blockers.","Avoid alcohol, maintain a regular sleep schedule.","Avoid trigger foods (nitrates, MSG).","Light stretching, stress management."
